model,MAE,RMSE,MAPE%,sMAPE%
random_forest,583.9403479853481,692.1829680416622,9.778199359668665,9.887411968354776
seasonal_naive,544.8846153846154,691.8953251942385,8.765461423228182,9.362117765570584
