Model,MAE,RMSE,MAPE%,sMAPE%,R2,PI_95%_coverage,PI_95%_avg_width,spec
seasonal_naive,287.3333333333333,332.3597448548786,4.837147694941355,4.762124424221543,0.25750584783966013,,,
sarimax,425.13482768919386,479.27534663740386,7.429098334921462,7.099133100988679,-0.5439967564652106,33.33333333333333,724.0023076815587,"((1, 1, 1), (0, 1, 1, 12))"
ets,430.00527649249216,472.45291705453945,7.429556875817217,7.126760627568378,-0.500352386112831,,,"{'trend': 'add', 'seasonal': 'mul', 'damped_trend': True}"
random_forest,225.40285714285724,265.11261667142026,3.779191192662313,3.788545942243613,0.5275705133960288,,,
