Model,MAE,RMSE,MAPE%,sMAPE%
seasonal_naive,287.3333333333333,332.3597448548786,4.837147694941355,4.762124424221543
sarimax,425.13482768919386,479.27534663740386,7.429098334921462,7.099133100988679
ets,430.00527649249216,472.45291705453945,7.429556875817217,7.126760627568378
random_forest,225.40285714285724,265.11261667142026,3.779191192662313,3.788545942243613
