Month,count
2022-07,5388
2022-08,5480
2022-09,5200
2022-10,5323
2022-11,5064
2022-12,4445
2023-01,4639
2023-02,5237
2023-03,5255
2023-04,5282
2023-05,5664
2023-06,5587
2023-07,5120
2023-08,5286
2023-09,5309
2023-10,6245
2023-11,5598
2023-12,5258
2024-01,5560
2024-02,5378
2024-03,5940
2024-04,6118
2024-05,6566
2024-06,6274
2024-07,6744
2024-08,6166
2024-09,5923
2024-10,6093
2024-11,5930
2024-12,5348
2025-01,5318
2025-02,5324
2025-03,6361
2025-04,6016
2025-05,6068
2025-06,5867
